group,sta,date,prcp,yr,Period
OEL>1989,OEL,1990-11-15,124,1990,>1989
ONI>1989,ONI,1990-11-15,64,1990,>1989
RAP>1989,RAP,1990-11-15,112,1990,>1989
COT>1989,COT,1990-12-15,112,1990,>1989
GOR>1989,GOR,1990-12-15,190,1990,>1989
MIS>1989,MIS,1990-12-15,132,1990,>1989
OEL>1989,OEL,1990-12-15,91,1990,>1989
ONI>1989,ONI,1990-12-15,197,1990,>1989
RAP>1989,RAP,1990-12-15,84,1990,>1989
COT>1989,COT,1991-01-15,44,1991,>1989
GOR>1989,GOR,1991-01-15,95,1991,>1989
MIS>1989,MIS,1991-01-15,70,1991,>1989
OEL>1989,OEL,1991-01-15,15,1991,>1989
ONI>1989,ONI,1991-01-15,103,1991,>1989
RAP>1989,RAP,1991-01-15,83,1991,>1989
COT>1989,COT,1991-02-15,346,1991,>1989
GOR>1989,GOR,1991-02-15,140,1991,>1989
MIS>1989,MIS,1991-02-15,173,1991,>1989
OEL>1989,OEL,1991-02-15,211,1991,>1989
ONI>1989,ONI,1991-02-15,283,1991,>1989
RAP>1989,RAP,1991-02-15,196,1991,>1989
COT>1989,COT,1991-03-15,67,1991,>1989
GOR>1989,GOR,1991-03-15,49,1991,>1989
MIS>1989,MIS,1991-03-15,280,1991,>1989
OEL>1989,OEL,1991-03-15,131,1991,>1989
ONI>1989,ONI,1991-03-15,110,1991,>1989
RAP>1989,RAP,1991-03-15,161,1991,>1989
COT>1989,COT,1991-04-15,593,1991,>1989
GOR>1989,GOR,1991-04-15,571,1991,>1989
MIS>1989,MIS,1991-04-15,693,1991,>1989
OEL>1989,OEL,1991-04-15,594,1991,>1989
ONI>1989,ONI,1991-04-15,925,1991,>1989
RAP>1989,RAP,1991-04-15,760,1991,>1989
COT>1989,COT,1991-05-15,1734,1991,>1989
GOR>1989,GOR,1991-05-15,603,1991,>1989
MIS>1989,MIS,1991-05-15,1244,1991,>1989
OEL>1989,OEL,1991-05-15,2166,1991,>1989
ONI>1989,ONI,1991-05-15,1333,1991,>1989
RAP>1989,RAP,1991-05-15,1121,1991,>1989
COT>1989,COT,1991-06-15,1487,1991,>1989
GOR>1989,GOR,1991-06-15,1412,1991,>1989
MIS>1989,MIS,1991-06-15,894,1991,>1989
OEL>1989,OEL,1991-06-15,1077,1991,>1989
ONI>1989,ONI,1991-06-15,1425,1991,>1989
RAP>1989,RAP,1991-06-15,834,1991,>1989
COT>1989,COT,1991-07-15,56,1991,>1989
GOR>1989,GOR,1991-07-15,586,1991,>1989
MIS>1989,MIS,1991-07-15,518,1991,>1989
OEL>1989,OEL,1991-07-15,203,1991,>1989
ONI>1989,ONI,1991-07-15,268,1991,>1989
RAP>1989,RAP,1991-07-15,501,1991,>1989
COT>1989,COT,1991-08-15,368,1991,>1989
GOR>1989,GOR,1991-08-15,477,1991,>1989
MIS>1989,MIS,1991-08-15,655,1991,>1989
OEL>1989,OEL,1991-08-15,540,1991,>1989
ONI>1989,ONI,1991-08-15,348,1991,>1989
RAP>1989,RAP,1991-08-15,146,1991,>1989
COT>1989,COT,1991-09-15,194,1991,>1989
GOR>1989,GOR,1991-09-15,475,1991,>1989
MIS>1989,MIS,1991-09-15,290,1991,>1989
OEL>1989,OEL,1991-09-15,175,1991,>1989
ONI>1989,ONI,1991-09-15,199,1991,>1989
RAP>1989,RAP,1991-09-15,149,1991,>1989
