sta,date,prcp
COT,2017-06-15,799
COT,2018-06-15,1131
COT,1959-07-15,178
COT,1960-07-15,586
COT,1961-07-15,505
COT,1962-07-15,752
COT,1963-07-15,579
COT,1964-07-15,221
COT,1965-07-15,281
COT,1966-07-15,436
COT,1967-07-15,97
COT,1968-07-15,260
COT,1969-07-15,1234
COT,1970-07-15,837
COT,1971-07-15,84
COT,1972-07-15,970
COT,1973-07-15,355
COT,1974-07-15,841
COT,1975-07-15,444
COT,1976-07-15,735
COT,1977-07-15,503
COT,1978-07-15,602
COT,1979-07-15,890
COT,1980-07-15,510
COT,1981-07-15,1140
COT,1982-07-15,791
COT,1983-07-15,331
COT,1984-07-15,344
COT,1985-07-15,481
COT,1986-07-15,491
COT,1987-07-15,404
COT,1988-07-15,397
COT,1989-07-15,272
COT,1990-07-15,719
COT,1991-07-15,56
COT,1992-07-15,1060
COT,1993-07-15,1157
COT,1994-07-15,520
COT,1995-07-15,300
COT,1996-07-15,502
COT,1997-07-15,1638
COT,1998-07-15,586
COT,1999-07-15,129
COT,2000-07-15,411
COT,2001-07-15,1166
COT,2002-07-15,233
COT,2003-07-15,113
COT,2004-07-15,328
COT,2005-07-15,304
COT,2006-07-15,147
COT,2007-07-15,145
COT,2008-07-15,998
COT,2009-07-15,730
COT,2010-07-15,1019
COT,2011-07-15,888
COT,2012-07-15,198
COT,2013-07-15,199
COT,2014-07-15,206
COT,2015-07-15,244
COT,2016-07-15,795
COT,2017-07-15,404
COT,2018-07-15,165
COT,1959-08-15,21
COT,1960-08-15,406
COT,1961-08-15,216
COT,1962-08-15,168
COT,1963-08-15,73
COT,1964-08-15,346
COT,1965-08-15,329
COT,1966-08-15,615
COT,1967-08-15,133
COT,1968-08-15,584
COT,1969-08-15,176
COT,1970-08-15,305
COT,1971-08-15,1175
COT,1972-08-15,339
COT,1973-08-15,144
COT,1974-08-15,514
COT,1975-08-15,173
COT,1976-08-15,178
COT,1977-08-15,441
COT,1978-08-15,792
COT,1979-08-15,517
COT,1980-08-15,428
COT,1981-08-15,758
COT,1982-08-15,393
COT,1983-08-15,216
COT,1984-08-15,259
COT,1985-08-15,403
COT,1986-08-15,710
COT,1987-08-15,239
COT,1988-08-15,288
COT,1989-08-15,48
COT,1990-08-15,219
COT,1991-08-15,368
COT,1992-08-15,257
COT,1993-08-15,354
COT,1994-08-15,770
COT,1995-08-15,29
COT,1996-08-15,251
COT,1997-08-15,506
COT,1998-08-15,948
COT,1999-08-15,534
COT,2000-08-15,71
COT,2001-08-15,277
COT,2002-08-15,463
COT,2003-08-15,67
COT,2004-08-15,167
COT,2005-08-15,199
COT,2006-08-15,607
COT,2007-08-15,594
COT,2008-08-15,475
COT,2009-08-15,301
COT,2010-08-15,275
COT,2011-08-15,656
COT,2012-08-15,355
COT,2013-08-15,767
COT,2014-08-15,716
COT,2015-08-15,774
COT,2016-08-15,628
COT,2017-08-15,94
COT,2018-08-15,229
COT,1959-09-15,823
COT,1960-09-15,142
COT,1961-09-15,623
COT,1962-09-15,58
COT,1963-09-15,274
COT,1964-09-15,43
COT,1965-09-15,380
COT,1966-09-15,821
COT,1967-09-15,440
COT,1968-09-15,152
COT,1969-09-15,317
COT,1970-09-15,502
COT,1971-09-15,904
COT,1972-09-15,91
COT,1973-09-15,587
COT,1974-09-15,130
COT,1975-09-15,0
COT,1976-09-15,31
COT,1977-09-15,452
COT,1978-09-15,117
COT,1979-09-15,8
COT,1980-09-15,153
COT,1981-09-15,31
COT,1982-09-15,414
COT,1983-09-15,77
COT,1984-09-15,113
COT,1985-09-15,365
COT,1986-09-15,718
COT,1987-09-15,96
COT,1988-09-15,143
COT,1989-09-15,884
COT,1990-09-15,140
COT,1991-09-15,194
COT,1992-09-15,107
COT,1993-09-15,457
COT,1994-09-15,175
COT,1995-09-15,211
COT,1996-09-15,794
COT,1997-09-15,170
COT,1998-09-15,216
COT,1999-09-15,628
COT,2000-09-15,52
COT,2001-09-15,247
COT,2002-09-15,880
COT,2003-09-15,227
COT,2004-09-15,1005
COT,2005-09-15,303
COT,2006-09-15,571
COT,2007-09-15,292
COT,2008-09-15,149
COT,2009-09-15,80
COT,2010-09-15,300
COT,2011-09-15,211
COT,2012-09-15,0
COT,2013-09-15,134
COT,2014-09-15,533
COT,2015-09-15,229
COT,2016-09-15,29
COT,2017-09-15,315
COT,2018-09-15,247
COT,1958-10-15,25
COT,1959-10-15,28
COT,1960-10-15,0
COT,1961-10-15,208
COT,1962-10-15,456
COT,1963-10-15,250
COT,1964-10-15,0
COT,1965-10-15,160
COT,1966-10-15,206
COT,1967-10-15,79
COT,1968-10-15,18
COT,1969-10-15,516
COT,1970-10-15,185
COT,1971-10-15,1042
