sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
lon_riv,Sand Hills,gaged,Niobrara,Sand Hills,0.25725412045568,2.24301970527187,0.740534516607777,0,1.23351407668898,4.90162781536032,1.42882390115247,2.48497666223926,-3.11454775178345,0.0258006935461804
lwr_aro,Sand Hills,gaged,Lit White,Sand Hills,1.11816645101531,2.54888602871804,1.59136292728705,1.84571147515559,1.23351407668898,4.46592756510607,0.536754721329274,2.00996587899325,-0.882467430277278,0.0161471973685272
lwr_mar,Sand Hills,gaged,Lit White,Sand Hills,1.50312511266186,2.03910882297443,2.66496328473036,2.75919293633556,0,4.57485262766963,0.139434107162233,2.18974314522694,-1.25469389131933,0.0146174347564051
lwr_ros,Sand Hills,gaged,Lit White,Sand Hills,1.33626799790629,2.5998637492924,1.15827180226437,1.96491557950493,1.23351407668898,4.57485262766963,0.696059518974968,2.01365523079863,-0.548001487321413,0.0157407189357675
lwr_vet,Sand Hills,gaged,Lit White,Sand Hills,1.04573472093144,2.29399742584623,2.29067517671358,2.38168875676468,0,4.46592756510607,0,2.5675671873732,-1.33858314904403,0.0137982134013461
lwr_whi,Sand Hills,gaged,Lit White,Sand Hills,2.08454944367133,2.80377463158984,0.703820183969259,2.53891681609062,1.23351407668898,4.79270275279676,0.975206268016353,1.73929111154097,0.155500596005416,0.0127829945481765
nio_spa,Sand Hills,gaged,Niobrara,Sand Hills,0.450350465752343,3.67039588135397,1.26254813677164,0.74643270503236,0,4.03022731485182,1.72315689483599,3.65634461983283,-1.76353697028488,0.0288155242439041
plu_hay,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.3038460804136,2.03910882297443,0.294556594482771,5.66497273420819,1.23351407668898,5.22840300305101,0.655676173210774,2.11412112792743,1.76220208178389,0.0230543131220854
ros_ros,Keya Paha Tablelands,gaged,Lit White,Keya Paha Tablelands,2.34036641909815,1.01955441148721,1.49711959069435,1.8935820860633,2.46702815337797,4.57485262766963,1.60659875347057,0.231089729255196,-1.1268689413618,0.0147988624690581
spr_her,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.84678918537328,1.83519794067699,2.96119847973215,1.94120007631983,4.09764506679218,0.653550375381378,3.43404162641878,-4.28937686532029,-0.670213870472607,0.0237168978024128
