sta,ecoreg,date,log_q1_mon,sci_1mo,sci_2mo,sci_3mo,sci_4mo,sci_6mo,sci_9mo,sci_12mo
bat_bhr,Pierre Shale Plains,2013-12-15,1.58367979767588,0.0479490543012867,0.275337473688248,0.40919237849777,-0.322492043227292,-0.613671551520825,-0.588691179172541,-0.590031672278801
bat_bhr,Pierre Shale Plains,2014-01-15,1.57519241699557,0.0714135202213094,0.00326358962406809,0.185419093322407,0.301601366042933,-0.321747418725186,-0.482765335913279,-0.564666945916401
bat_bhr,Pierre Shale Plains,2014-02-15,1.44005612354525,-0.0882491732663391,0.0221216662937225,-0.0753954305310069,0.0559910977220448,-0.188157992047543,-0.693118713770881,-0.568248061068727
bat_bhr,Pierre Shale Plains,2014-03-15,1.52857463120419,-0.0425737882400995,-0.0885323098983851,-0.0270499496968626,-0.0899734034221429,0.14861961715339,-0.399873747335723,-0.541264010648195
bat_bhr,Pierre Shale Plains,2014-04-15,1.57253220554627,0.0513414694734087,0.023084033134625,-0.0524934875397196,-0.0225255422794816,0.0478002065268509,-0.260251677289501,-0.581985874545035
bat_bhr,Pierre Shale Plains,2014-05-15,1.72299084905978,-0.182062880612112,-0.0996840137253246,-0.0604257014130109,-0.077248375782505,-0.0722220585740497,-0.134189142937151,-0.663946125626482
bat_bhr,Pierre Shale Plains,2014-06-15,2.08523991062104,0.168547982111221,-0.00633353304545497,-0.0203923381524037,0.020036539487547,0.0348007759560093,0.147289493462579,-0.334576905887864
bat_bhr,Pierre Shale Plains,2014-07-15,1.94766842603268,0.507425971930733,0.34291467642894,0.0922571230762789,0.0857517687285798,0.0947038451766762,0.138198119708445,-0.117429871621901
bat_bhr,Pierre Shale Plains,2014-08-15,1.80289681192031,0.447966229468749,0.44418775175813,0.382059998562433,0.359306849833866,0.196052329187711,0.147918140536043,0.058080450247936
bat_bhr,Pierre Shale Plains,2014-09-15,1.77949186449213,0.585159585847594,0.524934858729141,0.66446010577594,0.397959955546351,0.243794782485038,0.23218278828865,0.288753964113874
bat_bhr,Pierre Shale Plains,2014-10-15,2.07327491974897,1.11433079749552,0.896544992170607,0.671491162223646,0.453779069214592,0.509496631650823,0.288161376552657,0.282380023214497
