sta,years_rec,min_year,max_year,apparent_yrs,dec_lat_va,dec_long_va,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2
whi_int,16,2003,2018,16,43.69388346,-101.9326516,White River Badlands,gaged,White Riv,Tertiary Clays,3.36053463035994,3.31355183733345,1.34524868456277,3.83351638187397,2.46702815337797,5.01055287792389,2.27384997569734,0.217670730154754,1.13464823533284
blc_wan,26,1993,2018,26,43.53666558,-101.7985923,Keya Paha Tablelands,gaged,White Riv,Keya Paha Tablelands,2.88680170770677,1.52933161723082,1.51399673898725,3.69510800889384,2.46702815337797,5.11947794048745,2.01792344367274,0.0758035051905741,0.147514130173082
whi_kad,39,1980,2018,39,43.7524949,-101.5248665,White River Badlands,gaged,White Riv,Tertiary Clays,3.33579304081247,3.41550727848217,1.02956061562297,3.81385092964034,2.46702815337797,5.01055287792389,2.19946305419136,0.409926693953988,1.25140757027998
blp_bel,27,1992,2018,27,43.75527266,-101.2279205,White River Badlands,gaged,White Riv,Tertiary Clays,3.34287147924049,1.93715338182571,0.884009517497678,3.69510800889384,1.95507355566372,5.22840300305101,1.0919126511178,0.895368414583426,0.562395548741167
whi_whi,18,2001,2018,18,43.71304839,-100.6850534,White River Badlands,gaged,White Riv,Tertiary Clays,3.31451222923603,3.51746271963089,0.526537146065381,3.89230222308038,2.46702815337797,5.11947794048745,2.01792344367274,0.765987556109875,1.48817142363729
lwr_mar,39,1980,2018,39,43.1669155,-101.6327322,Sand Hills,gaged,Lit White,Sand Hills,1.50312511266186,2.03910882297443,2.66496328473036,2.75919293633556,0,4.57485262766963,0.139434107162233,2.18974314522694,-1.25469389131933
lcr_abv,20,1996,2015,20,43.08711217,-101.60387,Sand Hills,gaged,Lit White,Sand Hills,0,1.12150985263594,2.8508409762341,0.691544251534773,1.23351407668898,4.46592756510607,0.523743920016874,1.50616680357317,-3.40338182651844
lwr_vet,39,1980,2018,39,43.10069918,-101.232234,Sand Hills,gaged,Lit White,Sand Hills,1.04573472093144,2.29399742584623,2.29067517671358,2.38168875676468,0,4.46592756510607,0,2.5675671873732,-1.33858314904403
lwr_aro,21,1982,2004,23,43.26305967,-100.9176459,Sand Hills,gaged,Lit White,Sand Hills,1.11816645101531,2.54888602871804,1.59136292728705,1.84571147515559,1.23351407668898,4.46592756510607,0.536754721329274,2.00996587899325,-0.882467430277278
ros_ros,20,1980,2004,25,43.2372267,-100.8576446,Keya Paha Tablelands,gaged,Lit White,Keya Paha Tablelands,2.34036641909815,1.01955441148721,1.49711959069435,1.8935820860633,2.46702815337797,4.57485262766963,1.60659875347057,0.231089729255196,-1.1268689413618
