code,common_name,taxa_level,class,order,family,genus,species,fbi_value,fbi_source,fun_grp,fun_grp_sec,habit,habit_sec,parent_tsn,tsn,excl_grp
CHy--,minute moss-beetles,family,Insecta,Coleoptera,Hydraenidae,,,5,"Barbour et al, 1999",PR,,cn,cn,112752,112756,""
CHy--,water scavenger-beetles,family,Insecta,Coleoptera,Hydrophilidae,,,5,"Barbour et al, 1999",PR,,sw,sw,112752,112811,""
CSt--,rove beetles,family,Insecta,Coleoptera,Staphylinidae,,,8,"Barbour et al, 1999",PR,,cn,cn,113264,113265,""
CDr--,long-toe water-beetles,family,Insecta,Coleoptera,Dryopidae,,,5,"Hauer & Lamberti, 1996",SH,,cb,cb,113998,113999,""
CPs--,water-penny beetles,family,Insecta,Coleoptera,Psephenidae,,,4,"Barbour et al, 1999",SC,,cg,cg,113998,114069,""
CEl--,riffle beetles,family,Insecta,Coleoptera,Elmidae,,,4,"Barbour et al, 1999",GC,,cg,cg,113998,114093,""
CElSt,riffle beetles,genus,Insecta,Coleoptera,Elmidae,Stenelmis,,7,"Barbour et al, 1999",SC,,cn,,114093,114095,""
CElMi,riffle beetles,genus,Insecta,Coleoptera,Elmidae,Microcylloepus,,4,"Barbour et al, 1999",GC,SC,cn,,114093,114146,""
CCu--,snout beetles,family,Insecta,Coleoptera,Curculionidae,,,3.5,"Barbour et al, 1999",SH,,cn,cn,114654,114666,""
MSi--,alderflies,family,Insecta,Megaloptera,Sialidae,,,4,"Barbour et al, 1999",PR,,bu,bu,115000,115001,""
MCo--,dobsonflies,family,Insecta,Megaloptera,Corydalidae,,,0,"Barbour et al, 1999",PR,,cg,cg,115000,115023,""
TRh--,primitive caddisflies,family,Insecta,Trichoptera,Rhyacophilidae,,,0,"Barbour et al, 1999",PR,,cg,cg,115095,115096,""
