sta,date,prcp,yr,spi_1mo,spi_2mo,spi_3mo,spi_4mo,spi_6mo,spi_9mo,spi_12mo
ONI,2000-10-15,359,2000,0.116138943925359,-1.07842187315861,-0.183887868264164,-0.629186220277159,-0.269353875887211,-0.169276763374645,-0.615951412581468
ONI,2000-11-15,288,2000,0.976855817366256,0.280061695498429,-0.805609969435785,-0.053426086555317,-0.827254576131782,0.00607195355351445,-0.343163537547131
ONI,2000-12-15,73,2000,-0.481623965621496,0.39983314589838,0.127730175610975,-0.940320399655645,-0.614133981495992,-0.129568007719859,-0.316699006207337
ONI,2001-01-15,117,2001,0.0432582440342195,-0.434746304231935,0.243761657797967,0.0963104107518811,-0.242354268103282,-0.280386528357528,-0.223774518200303
ONI,2001-02-15,308,2001,1.04073145640619,0.697371918232564,0.197501278403545,0.54099708984428,-0.700816102964489,-0.836280969710238,-0.00276887909970211
ONI,2001-03-15,46,2001,-1.60244795829254,-0.414658223926109,-0.547347455175702,-0.680571984247946,-0.337496661150323,-0.806323776966408,-0.289644644865717
ONI,2001-04-15,792,2001,0.898277391884235,0.311329331191593,0.524421680582147,0.456192508421493,0.511447724682902,0.0319631433541274,-0.108998204830773
ONI,2001-05-15,730,2001,0.0798331175959264,0.505869520257081,0.130475811916744,0.278345413471543,0.0994895968641216,-0.296867753782728,-0.682908410715572
ONI,2001-06-15,523,2001,-0.925954165860931,-0.776794303013826,-0.238890185342593,-0.454229851413758,-0.323083404005197,-0.314111528418111,-0.699372883094091
ONI,2001-07-15,1010,2001,1.31358403699644,0.0226113922183597,-0.247147160058693,0.265126873962603,0.132390157666809,0.232948829041445,-0.0725923508543909
ONI,2001-08-15,395,2001,0.0288769361441598,0.538861102702387,-0.311468439732358,-0.32247164236851,0.0296567145985672,-0.0568878251386916,-0.414769584470643
ONI,2001-09-15,333,2001,-0.0957528340067406,-0.521004718603961,0.220569239769528,-0.460555079896566,0.12320934992428,-0.0828670695920366,0.0125097995849995
ONI,2001-10-15,473,2001,0.390961446799971,-0.101544485694687,-0.408277876662265,0.17916083023289,-0.26464208986386,0.0256019413399442,-0.00151483234799013
ONI,2001-11-15,445,2001,1.63677268840985,0.828916666351043,0.37293943187004,-0.0246401346045131,0.0033142089181904,0.113714792103597,0.108457808284981
