Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,POR2a6,POR2b6,POR2d7,POR2d7(2)
Dip. Chironomidae,Glyptotendipes sp.,6.2,,SH/GF/GC,,,,
Odonata,Gom. Hagenius,1,blank,,,,,
Odonata,Gomphidae,1,,PR,,,,
Coleoptera,Haliplidae,7,,SH/PR,,,,
Trichoptera,Helicopsychidae,3,,SC,,,,
Hymenoptera,Heloridae,-9999,Undetermined,,,,,
Ephemeroptera,Heptageniidae,4,,SC (CG),,,,
Hirudinea sub-class,Hirudidae,7,,PR,,,,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,,,,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,1,16,6,21
Amp. Gammaridae,Hyalella sp.,8,,,,,,
Acari,Hydrachnida,8,From genera,,,,,
Coleoptera,Hydraenidae,8,Averaged from genus,,15,1,29,1
Hemiptera,Hydrometridae,10,From UMN.edu,,1,,,
Coleoptera,Hydrophilidae,5,,PR,,,,
Tri. Hydropsychidae,Hydropsyche betteni,6,,FC,1,1,,
Tri. Hydropsychidae,Hydropsyche morosa,4,(from subfamily level),FC,,,,
Trichoptera,Hydropsychidae,4,(Variable),FC,,,11,12
Tri. Hydroptilidae,Hydroptila sp.,6,,SC,,,,
Trichoptera,Hydroptilidae,4,,SC,,,,
Acari,Hygrobates sp.,8,,,,,,
Plecoptera,Isoperla sp.,2,,PR/GC,,,,
Trichoptera,Ithytrichia sp.,6,(from Orthotricia),SC,,,,
Dip. Chironomidae,Labrundinia sp.,3.8,,PR,,,,
Col. Dystiscidae,Laccophilus sp.,6.5,Averaged from regional,PR,,,,
Other Organisms,Lebertia sp.,8,,,,,,
Trichoptera,Leptoceridae,4,,GC,,,18,1
Ephemeroptera,Leptophlebiidae,5,,GC,,,,
Odonata,Lestidae,9,From Guide to Mongolia,PR,,,2,
Odonata,Libellulidae,9,,PR,,,,
Trichoptera,Limnephilidae,4,,SH,,,,
Trichoptera,Limnephilus sp.,5,,SH (GC),,,,
Ann. Oligochaeta,Limnodrilus hoffmeisteri,9.8,,,,,,
Ann. Oligochaeta,Limnodrilus udekemianus,9.7,,,,,,
Dip. Chironomidae,Lopescladius sp.,6,,GC,,,,
Gastropoda,Lymnaeidae,6.5,Averaged from regional,SC,,,,
Coleoptera,Macronychus glabratus,4,,GC,,,,
Hemiptera,Macroveliidae,6,"From ""Somewhat Tolerant"" google",,,,,
Dip. Ceratopogonidae,Mallochohelea sp.,6,,PR,,,,
Coleoptera,Microcylloepus sp.,4,,GC,,,,
Dip. Chironomidae,Micropsectra sp.,3.5,,GC,,,,
Ann. Oligochaeta,Naididae,8,,GC,,,,1
Hemiptera,Naucoridae,5,,PR,,,,
Trichoptera,Nectopsyche sp.,3,,SH/GC,,,,
Arthronod/ worm like,Nematomorpha,,U,PA,,,,
Hemiptera,Notonectdae,-9999,Undetermined,PR,,,1,
Trichoptera,Odontoceridae,0,,SH,,,,
Dip. Chironomidae,Odontomesa sp.,7,,GC,,,,
Trichoptera,Oecetis sp.,8,,PR,,,,
Annelida,Oligochaeta,10,,GC,,,,
Ephemeroptera,Oligoneuriidae,2,,FC,,,,
Dip. Chironomidae,Orthocladius Complex,6,,GC,,,,
Decapoda,Palaemonidae,4,,,1,,,
Dip. Chironomidae,Parakiefferiella sp.,6,,GC,,,,
Dip. Chironomidae,Paralauterborniella nigrohalteralis,6,,SH,,,,
Dip. Chironomidae,Paratendipes sp.,8,,GC,,,,1
Diptera,Pediciidae,6,,PR,,,,
Dip. Chironomidae,Pentaneurini,6,,PR,,,,
Plecoptera,Perlidae,1,,PR,35,30,1,8
