sta,date,prcp,location,key,value
COT,1990-05-15,745,NC,sci_1mo,0.34
COT,1990-05-15,745,NC,sci_2mo,-0.363
COT,1990-05-15,745,NC,sci_3mo,-0.143
COT,1990-05-15,745,NC,sci_4mo,-0.351
COT,1990-05-15,745,NC,sci_6mo,-0.535
COT,1990-05-15,745,NC,sci_9mo,0.452
COT,1990-05-15,745,NC,sci_12mo,-1.044
COT,1990-05-15,745,NC,sci_18mo,-1.322
COT,1990-05-15,745,NC,sci_24mo,
COT,1990-06-15,476,NC,sci_1mo,-0.583
COT,1990-06-15,476,NC,sci_2mo,-0.113
COT,1990-06-15,476,NC,sci_3mo,-0.667
COT,1990-06-15,476,NC,sci_4mo,-0.378
COT,1990-06-15,476,NC,sci_6mo,-0.694
COT,1990-06-15,476,NC,sci_9mo,-0.559
COT,1990-06-15,476,NC,sci_12mo,-0.681
COT,1990-06-15,476,NC,sci_18mo,-1.367
COT,1990-06-15,476,NC,sci_24mo,
COT,1990-07-15,719,NC,sci_1mo,0.702
COT,1990-07-15,719,NC,sci_2mo,0.04
COT,1990-07-15,719,NC,sci_3mo,0.094
COT,1990-07-15,719,NC,sci_4mo,-0.257
COT,1990-07-15,719,NC,sci_6mo,-0.174
COT,1990-07-15,719,NC,sci_9mo,-0.077
COT,1990-07-15,719,NC,sci_12mo,-0.151
COT,1990-07-15,719,NC,sci_18mo,-1.015
COT,1990-07-15,719,NC,sci_24mo,
COT,1990-08-15,219,NC,sci_1mo,-0.523
COT,1990-08-15,219,NC,sci_2mo,0.232
COT,1990-08-15,219,NC,sci_3mo,-0.215
COT,1990-08-15,219,NC,sci_4mo,-0.039
COT,1990-08-15,219,NC,sci_6mo,-0.333
COT,1990-08-15,219,NC,sci_9mo,-0.462
COT,1990-08-15,219,NC,sci_12mo,0.055
COT,1990-08-15,219,NC,sci_18mo,-1.07
COT,1990-08-15,219,NC,sci_24mo,
COT,1990-09-15,140,NC,sci_1mo,-0.532
COT,1990-09-15,140,NC,sci_2mo,-1.097
COT,1990-09-15,140,NC,sci_3mo,-0.362
COT,1990-09-15,140,NC,sci_4mo,-0.632
COT,1990-09-15,140,NC,sci_6mo,-0.763
COT,1990-09-15,140,NC,sci_9mo,-0.799
COT,1990-09-15,140,NC,sci_12mo,-0.486
COT,1990-09-15,140,NC,sci_18mo,-1.343
COT,1990-09-15,140,NC,sci_24mo,-1.345
COT,1990-10-15,83,NC,sci_1mo,-0.947
COT,1990-10-15,83,NC,sci_2mo,-1.342
COT,1990-10-15,83,NC,sci_3mo,-1.684
COT,1990-10-15,83,NC,sci_4mo,-0.804
COT,1990-10-15,83,NC,sci_6mo,-0.619
COT,1990-10-15,83,NC,sci_9mo,-1.014
COT,1990-10-15,83,NC,sci_12mo,-0.835
COT,1990-10-15,83,NC,sci_18mo,-1.348
COT,1990-10-15,83,NC,sci_24mo,-1.468
COT,1990-11-15,143,NC,sci_1mo,0.48
COT,1990-11-15,143,NC,sci_2mo,-0.853
COT,1990-11-15,143,NC,sci_3mo,-1.306
COT,1990-11-15,143,NC,sci_4mo,-2.594
COT,1990-11-15,143,NC,sci_6mo,-1.018
COT,1990-11-15,143,NC,sci_9mo,-0.883
COT,1990-11-15,143,NC,sci_12mo,-1.003
COT,1990-11-15,143,NC,sci_18mo,-1.242
COT,1990-11-15,143,NC,sci_24mo,-1.455
COT,1990-12-15,112,NC,sci_1mo,0.372
COT,1990-12-15,112,NC,sci_2mo,0.253
COT,1990-12-15,112,NC,sci_3mo,-0.714
COT,1990-12-15,112,NC,sci_4mo,-1.196
COT,1990-12-15,112,NC,sci_6mo,-0.751
COT,1990-12-15,112,NC,sci_9mo,-0.999
COT,1990-12-15,112,NC,sci_12mo,-1.006
COT,1990-12-15,112,NC,sci_18mo,-0.89
COT,1990-12-15,112,NC,sci_24mo,-1.409
COT,1991-01-15,44,NC,sci_1mo,-0.577
COT,1991-01-15,44,NC,sci_2mo,-0.303
COT,1991-01-15,44,NC,sci_3mo,-0.063
COT,1991-01-15,44,NC,sci_4mo,-0.87
COT,1991-01-15,44,NC,sci_6mo,-2.072
COT,1991-01-15,44,NC,sci_9mo,-0.634
COT,1991-01-15,44,NC,sci_12mo,-0.993
COT,1991-01-15,44,NC,sci_18mo,-0.714
COT,1991-01-15,44,NC,sci_24mo,-1.414
COT,1991-02-15,346,NC,sci_1mo,1.563
COT,1991-02-15,346,NC,sci_2mo,1.068
COT,1991-02-15,346,NC,sci_3mo,0.959
COT,1991-02-15,346,NC,sci_4mo,0.798
COT,1991-02-15,346,NC,sci_6mo,-0.611
COT,1991-02-15,346,NC,sci_9mo,-0.761
COT,1991-02-15,346,NC,sci_12mo,-0.654
COT,1991-02-15,346,NC,sci_18mo,-0.162
COT,1991-02-15,346,NC,sci_24mo,-1.282
COT,1991-03-15,67,NC,sci_1mo,-1.294
COT,1991-03-15,67,NC,sci_2mo,0.127
COT,1991-03-15,67,NC,sci_3mo,-0.249
COT,1991-03-15,67,NC,sci_4mo,-0.243
COT,1991-03-15,67,NC,sci_6mo,-0.74
COT,1991-03-15,67,NC,sci_9mo,-0.816
COT,1991-03-15,67,NC,sci_12mo,-1.037
COT,1991-03-15,67,NC,sci_18mo,-0.812
COT,1991-03-15,67,NC,sci_24mo,-1.432
COT,1991-04-15,593,NC,sci_1mo,0.523
COT,1991-04-15,593,NC,sci_2mo,-0.3
COT,1991-04-15,593,NC,sci_3mo,0.417
COT,1991-04-15,593,NC,sci_4mo,0.139
COT,1991-04-15,593,NC,sci_6mo,0.239
COT,1991-04-15,593,NC,sci_9mo,-1.018
COT,1991-04-15,593,NC,sci_12mo,-0.537
COT,1991-04-15,593,NC,sci_18mo,-0.719
COT,1991-04-15,593,NC,sci_24mo,-1.209
COT,1991-05-15,1734,NC,sci_1mo,1.719
COT,1991-05-15,1734,NC,sci_2mo,1.744
COT,1991-05-15,1734,NC,sci_3mo,1.776
COT,1991-05-15,1734,NC,sci_4mo,2.002
COT,1991-05-15,1734,NC,sci_6mo,2.069
COT,1991-05-15,1734,NC,sci_9mo,0.97
COT,1991-05-15,1734,NC,sci_12mo,0.308
COT,1991-05-15,1734,NC,sci_18mo,0.032
COT,1991-05-15,1734,NC,sci_24mo,-0.455
COT,1991-06-15,1487,NC,sci_1mo,1.339
COT,1991-06-15,1487,NC,sci_2mo,1.677
COT,1991-06-15,1487,NC,sci_3mo,1.869
COT,1991-06-15,1487,NC,sci_4mo,1.639
COT,1991-06-15,1487,NC,sci_6mo,1.781
COT,1991-06-15,1487,NC,sci_9mo,1.533
COT,1991-06-15,1487,NC,sci_12mo,1.289
COT,1991-06-15,1487,NC,sci_18mo,0.527
COT,1991-06-15,1487,NC,sci_24mo,0.425
COT,1991-07-15,56,NC,sci_1mo,-3
COT,1991-07-15,56,NC,sci_2mo,0.502
COT,1991-07-15,56,NC,sci_3mo,1.242
COT,1991-07-15,56,NC,sci_4mo,1.287
COT,1991-07-15,56,NC,sci_6mo,1.296
COT,1991-07-15,56,NC,sci_9mo,1.234
COT,1991-07-15,56,NC,sci_12mo,0.597
COT,1991-07-15,56,NC,sci_18mo,0.223
COT,1991-07-15,56,NC,sci_24mo,0.26
COT,1991-08-15,368,NC,sci_1mo,0.117
COT,1991-08-15,368,NC,sci_2mo,-1.075
COT,1991-08-15,368,NC,sci_3mo,0.417
COT,1991-08-15,368,NC,sci_4mo,1.13
COT,1991-08-15,368,NC,sci_6mo,1.147
COT,1991-08-15,368,NC,sci_9mo,1.191
COT,1991-08-15,368,NC,sci_12mo,0.735
COT,1991-08-15,368,NC,sci_18mo,0.251
COT,1991-08-15,368,NC,sci_24mo,0.481
COT,1991-09-15,194,NC,sci_1mo,-0.242
COT,1991-09-15,194,NC,sci_2mo,-0.39
COT,1991-09-15,194,NC,sci_3mo,-1.349
COT,1991-09-15,194,NC,sci_4mo,0.224
COT,1991-09-15,194,NC,sci_6mo,1.206
COT,1991-09-15,194,NC,sci_9mo,1.174
COT,1991-09-15,194,NC,sci_12mo,0.858
COT,1991-09-15,194,NC,sci_18mo,0.123
COT,1991-09-15,194,NC,sci_24mo,0.176
COT,1991-10-15,380,NC,sci_1mo,0.374
COT,1991-10-15,380,NC,sci_2mo,-0.086
COT,1991-10-15,380,NC,sci_3mo,-0.07
COT,1991-10-15,380,NC,sci_4mo,-1.144
COT,1991-10-15,380,NC,sci_6mo,1.049
COT,1991-10-15,380,NC,sci_9mo,1.169
COT,1991-10-15,380,NC,sci_12mo,1.106
COT,1991-10-15,380,NC,sci_18mo,0.27
COT,1991-10-15,380,NC,sci_24mo,0.168
COT,1991-11-15,136,NC,sci_1mo,0.431
COT,1991-11-15,136,NC,sci_2mo,0.307
COT,1991-11-15,136,NC,sci_3mo,-0.186
COT,1991-11-15,136,NC,sci_4mo,0.006
COT,1991-11-15,136,NC,sci_6mo,0.202
COT,1991-11-15,136,NC,sci_9mo,1.026
COT,1991-11-15,136,NC,sci_12mo,1.076
COT,1991-11-15,136,NC,sci_18mo,0.271
COT,1991-11-15,136,NC,sci_24mo,0.085
COT,1991-12-15,18,NC,sci_1mo,-1.024
COT,1991-12-15,18,NC,sci_2mo,-0.456
COT,1991-12-15,18,NC,sci_3mo,0.014
COT,1991-12-15,18,NC,sci_4mo,-0.342
COT,1991-12-15,18,NC,sci_6mo,-1.247
COT,1991-12-15,18,NC,sci_9mo,1.039
COT,1991-12-15,18,NC,sci_12mo,1.003
COT,1991-12-15,18,NC,sci_18mo,0.521
COT,1991-12-15,18,NC,sci_24mo,-0.044
COT,1992-01-15,219,NC,sci_1mo,1.382
COT,1992-01-15,219,NC,sci_2mo,0.451
COT,1992-01-15,219,NC,sci_3mo,0.36
COT,1992-01-15,219,NC,sci_4mo,0.391
COT,1992-01-15,219,NC,sci_6mo,-0.026
COT,1992-01-15,219,NC,sci_9mo,1.023
COT,1992-01-15,219,NC,sci_12mo,1.124
COT,1992-01-15,219,NC,sci_18mo,0.514
COT,1992-01-15,219,NC,sci_24mo,0.077
COT,1992-02-15,199,NC,sci_1mo,0.725
COT,1992-02-15,199,NC,sci_2mo,1.206
COT,1992-02-15,199,NC,sci_3mo,0.635
COT,1992-02-15,199,NC,sci_4mo,0.515
COT,1992-02-15,199,NC,sci_6mo,0.134
COT,1992-02-15,199,NC,sci_9mo,0.25
COT,1992-02-15,199,NC,sci_12mo,1.051
COT,1992-02-15,199,NC,sci_18mo,0.695
COT,1992-02-15,199,NC,sci_24mo,0.169
COT,1992-03-15,422,NC,sci_1mo,0.992
COT,1992-03-15,422,NC,sci_2mo,1.19
COT,1992-03-15,422,NC,sci_3mo,1.777
COT,1992-03-15,422,NC,sci_4mo,1.2
COT,1992-03-15,422,NC,sci_6mo,0.702
COT,1992-03-15,422,NC,sci_9mo,-0.602
COT,1992-03-15,422,NC,sci_12mo,1.246
COT,1992-03-15,422,NC,sci_18mo,0.94
COT,1992-03-15,422,NC,sci_24mo,0.176
COT,1992-04-15,237,NC,sci_1mo,-1.103
COT,1992-04-15,237,NC,sci_2mo,-0.304
COT,1992-04-15,237,NC,sci_3mo,-0.151
COT,1992-04-15,237,NC,sci_4mo,0.236
COT,1992-04-15,237,NC,sci_6mo,0.028
COT,1992-04-15,237,NC,sci_9mo,-0.21
COT,1992-04-15,237,NC,sci_12mo,0.979
COT,1992-04-15,237,NC,sci_18mo,1.033
COT,1992-04-15,237,NC,sci_24mo,0.207
COT,1992-05-15,292,NC,sci_1mo,-0.851
COT,1992-05-15,292,NC,sci_2mo,-1.901
COT,1992-05-15,292,NC,sci_3mo,-1.165
COT,1992-05-15,292,NC,sci_4mo,-0.906
COT,1992-05-15,292,NC,sci_6mo,-0.832
COT,1992-05-15,292,NC,sci_9mo,-0.874
COT,1992-05-15,292,NC,sci_12mo,-0.474
COT,1992-05-15,292,NC,sci_18mo,0.713
COT,1992-05-15,292,NC,sci_24mo,-0.08
COT,1992-06-15,1457,NC,sci_1mo,1.297
COT,1992-06-15,1457,NC,sci_2mo,0.503
COT,1992-06-15,1457,NC,sci_3mo,0.143
COT,1992-06-15,1457,NC,sci_4mo,0.435
COT,1992-06-15,1457,NC,sci_6mo,0.564
COT,1992-06-15,1457,NC,sci_9mo,0.392
COT,1992-06-15,1457,NC,sci_12mo,-0.433
COT,1992-06-15,1457,NC,sci_18mo,1.081
COT,1992-06-15,1457,NC,sci_24mo,0.584
COT,1992-07-15,1060,NC,sci_1mo,1.186
COT,1992-07-15,1060,NC,sci_2mo,1.477
COT,1992-07-15,1060,NC,sci_3mo,0.886
COT,1992-07-15,1060,NC,sci_4mo,0.667
COT,1992-07-15,1060,NC,sci_6mo,0.854
COT,1992-07-15,1060,NC,sci_9mo,0.842
COT,1992-07-15,1060,NC,sci_12mo,0.561
COT,1992-07-15,1060,NC,sci_18mo,1.329
COT,1992-07-15,1060,NC,sci_24mo,0.745
COT,1992-08-15,257,NC,sci_1mo,-0.338
COT,1992-08-15,257,NC,sci_2mo,0.878
COT,1992-08-15,257,NC,sci_3mo,1.256
COT,1992-08-15,257,NC,sci_4mo,0.735
COT,1992-08-15,257,NC,sci_6mo,0.67
COT,1992-08-15,257,NC,sci_9mo,0.697
COT,1992-08-15,257,NC,sci_12mo,0.497
COT,1992-08-15,257,NC,sci_18mo,1.037
COT,1992-08-15,257,NC,sci_24mo,0.753
COT,1992-09-15,107,NC,sci_1mo,-0.743
COT,1992-09-15,107,NC,sci_2mo,-1.078
COT,1992-09-15,107,NC,sci_3mo,0.379
COT,1992-09-15,107,NC,sci_4mo,1.162
COT,1992-09-15,107,NC,sci_6mo,0.37
COT,1992-09-15,107,NC,sci_9mo,0.691
COT,1992-09-15,107,NC,sci_12mo,0.564
COT,1992-09-15,107,NC,sci_18mo,1.054
COT,1992-09-15,107,NC,sci_24mo,0.799
COT,1992-10-15,5,NC,sci_1mo,-2.754
COT,1992-10-15,5,NC,sci_2mo,-2.109
COT,1992-10-15,5,NC,sci_3mo,-2.269
COT,1992-10-15,5,NC,sci_4mo,-0.287
COT,1992-10-15,5,NC,sci_6mo,0.211
COT,1992-10-15,5,NC,sci_9mo,0.241
COT,1992-10-15,5,NC,sci_12mo,0.204
COT,1992-10-15,5,NC,sci_18mo,0.709
COT,1992-10-15,5,NC,sci_24mo,0.758
COT,1992-11-15,367,NC,sci_1mo,1.552
COT,1992-11-15,367,NC,sci_2mo,-0.163
COT,1992-11-15,367,NC,sci_3mo,-0.888
COT,1992-11-15,367,NC,sci_4mo,-0.963
COT,1992-11-15,367,NC,sci_6mo,0.909
COT,1992-11-15,367,NC,sci_9mo,0.387
COT,1992-11-15,367,NC,sci_12mo,0.454
COT,1992-11-15,367,NC,sci_18mo,0.246
COT,1992-11-15,367,NC,sci_24mo,0.89
COT,1992-12-15,56,NC,sci_1mo,-0.268
COT,1992-12-15,56,NC,sci_2mo,1.076
COT,1992-12-15,56,NC,sci_3mo,-0.342
COT,1992-12-15,56,NC,sci_4mo,-0.965
COT,1992-12-15,56,NC,sci_6mo,0.005
COT,1992-12-15,56,NC,sci_9mo,0.17
COT,1992-12-15,56,NC,sci_12mo,0.485
COT,1992-12-15,56,NC,sci_18mo,-0.26
COT,1992-12-15,56,NC,sci_24mo,0.845
