group,sta,PC1_mean,PC2_mean,q1_mean,q7_mean,q30_mean,q1_q30_mean,eigen_dist,prob,type
V5,bev_buf,0.601356027377313,0.0184138799630608,0.35926431780472,0.353464707590621,0.328582381658998,0.0306819361457221,0.601637883313807,0.99765379672128,wet
V5,fal_hot,1.30443772193599,0.0210936926980465,0.7772139561887,0.751666161896696,0.730274221423446,0.0469397347652532,1.3046082608512,0.999997451020277,wet
V5,frn_fai,0.680269768235521,0.0105282962097222,0.402339549263484,0.395362182958619,0.380419283513209,0.0219202657502749,0.680351234728275,0.997541381185126,wet
V5,lcr_abv,1.46047204388525,0.00969259723151021,0.861040326483324,0.840168878554231,0.828341419107809,0.0326989073755154,1.46050420657095,0.999999909142714,wet
V5,lcr_bel,1.18406907112184,-0.0165330773465467,0.685133908648044,0.674774496117782,0.691240415991823,-0.0061065073437786,1.18418449062377,0.999980624101597,wet
V5,lcr_vet,1.01764869125225,0.0190629049768578,0.606545615194349,0.588593978478278,0.567270867569773,0.0392747476245758,1.01782722166072,0.999942913315039,wet
V5,lwr_abv,1.05840207739539,0.0187971319723435,0.630039001682808,0.612215533633568,0.590744426371699,0.039294575311109,1.05856898197768,0.999975378879951,wet
V5,lwr_mar,0.693031231749158,0.0135283022832126,0.411629277086337,0.403187998871919,0.385370701990566,0.0262585750957708,0.693163258650097,0.997829886791678,wet
V5,lwr_ros,1.11579992893484,0.0188951004262316,0.664260882942389,0.64448041176152,0.623683653911315,0.0405772290310742,1.1159599035051,0.999983520538972,wet
V5,lwr_whi,0.920059361341486,0.0146862950136525,0.545316649597766,0.533667552437285,0.514423654315213,0.0308929952825525,0.92017656765065,0.999935261446001,wet
V5,rap_far,1.09742522911887,0.012216893958478,0.648775398422475,0.633690314565715,0.618204122123409,0.0305712762990667,1.09749322822721,0.999990000824146,wet
V5,ros_ros,1.5736953312477,0.0038372337093229,0.925604626966881,0.901886650454161,0.898273858647282,0.0273307683195997,1.57370000951685,0.999999931984773,wet
V5,wcc_ogl,0.189215722893805,0.0089623503819677,0.111646267565487,0.11597990888727,0.0999283829415641,0.0117178846239226,0.189427858338192,0.572459416808511,wet
V5,wkc_wok,1.03314346936209,0.00730518068038111,0.609407910743097,0.594371089149708,0.58562970581304,0.0237782049300561,1.03316929588055,0.999924154435963,wet
V6,hat_edg,-2.46109038322392,0.0339933850149106,-1.40598411980693,-1.4259579086978,-1.43107701465448,0.0250928948475579,2.4613251359018,1,wet
V6,hor_oel,-3.19044039765193,0.0777013825643946,-1.80334273554212,-1.84159116776795,-1.88187357376331,0.0785308382211921,3.19138644413706,1,wet
V1,whi_int,0.351050449377025,0.13930226182528,-0.301968266365004,-0.209468543605523,-0.0949778370601351,-0.206990429304869,0.377679147104325,0.999999999996493,dry
V1,whi_kad,0.255619998727072,0.117964508521068,-0.232281254833021,-0.152218270953644,-0.056888178956068,-0.175393075876953,0.281526568941274,1,dry
