date,oel,duration
1917-11-01,-0.0611726180139302,1
1917-12-01,0.0584313468949357,1
1918-01-01,0.598092000814255,1
1918-02-01,-1.31664939000928,1
1918-03-01,-1.6328830094648,1
1918-04-01,0.731208498559527,1
1918-05-01,0.304837039455353,1
1918-06-01,-0.574303138240478,1
1918-07-01,0.308441614409765,1
1918-08-01,-0.779207061104614,1
1918-09-01,0.38801491937097,1
1918-10-01,-1.12229062688824,1
1918-11-01,-0.783594242350197,1
1918-12-01,2.83682416383058,1
1919-01-01,-1.52028100087835,1
1919-02-01,1.60391826982649,1
1919-03-01,0.333311198412488,1
1919-04-01,0.997320032106655,1
1919-05-01,-1.46586227362527,1
1919-06-01,-2.22467126214286,1
1919-07-01,-0.28222272478036,1
1919-08-01,-1.27099761613021,1
1919-09-01,-1.11930376830165,1
1919-10-01,1.59443812921449,1
1919-11-01,1.39068844284242,1
1919-12-01,-0.371548432698214,1
1920-01-01,0.605837462867187,1
1920-02-01,0.717883825202335,1
1920-03-01,-0.334587405112085,1
1920-04-01,-0.137001016473526,1
1920-05-01,2.00820277995746,1
1920-06-01,0.779849855697272,1
1920-07-01,-0.169722900651013,1
1920-08-01,0.00969401024974352,1
1920-09-01,-1.91483292250014,1
1920-10-01,0.265934356748904,1
1920-11-01,0.965690753034275,1
1920-12-01,1.39335346965432,1
1921-01-01,1.85315692433943,1
1921-02-01,0.955587964310872,1
1921-03-01,-1.83322666375869,1
1921-04-01,-1.2877679734315,1
1921-05-01,0.349068959691396,1
1921-06-01,-0.00580331044157884,1
1921-07-01,-0.118825833082714,1
1921-08-01,-0.707084155820078,1
1921-09-01,-0.903411866420428,1
1921-10-01,0.46414777594676,1
1921-11-01,1.02772567456107,1
1921-12-01,0.741390005190173,1
1922-01-01,1.88376140090954,1
1922-02-01,0.527490526352729,1
1922-03-01,-1.87911822073832,1
1922-04-01,0.930795986422148,1
1922-05-01,-0.539660016575589,1
1922-06-01,0.540169677897356,1
1922-07-01,2.64645743451144,1
1922-08-01,-0.854746481916606,1
1922-09-01,-1.17780699195378,1
